,Temperature,Hour,Week,Load
1,18.05,0,3,3.794
2,17.2,1,3,3.418
3,16.45,2,3,3.152
4,16.65,3,3,3.026
5,16.4,4,3,3.022
6,17.95,5,3,3.055
7,19.7,6,3,3.18
8,20.6,7,3,3.276
9,22.35,8,3,3.467
10,23.7,9,3,3.62
11,24.8,10,3,3.73
12,25.9,11,3,3.858
13,25.3,12,3,3.851
14,23.65,13,3,3.839
15,20.7,14,3,3.861
16,19.15,15,3,3.912
17,22.65,16,3,4.082
18,22.65,17,3,4.118
19,22.4,18,3,4.011
20,22.15,19,3,3.965
21,22.05,20,3,3.932
22,22.15,21,3,3.693
23,21,22,3,3.585
24,19.5,23,3,4.001
25,18.45,0,4,3.623
26,17.25,1,4,3.249
27,16.3,2,4,3.047
28,15.7,3,4,3.004
29,15.5,4,4,3.104
30,15.45,5,4,3.361
31,15.65,6,4,3.749
32,16.5,7,4,3.91
33,18.1,8,4,4.075
34,17.8,9,4,4.165
35,19.1,10,4,4.202
36,19.85,11,4,4.225
37,20.3,12,4,4.265
38,21.05,13,4,4.301
39,22.8,14,4,4.381
40,21.65,15,4,4.484
41,20.15,16,4,4.552
42,19.3,17,4,4.44
43,18.75,18,4,4.233
44,17.9,19,4,4.145
45,17.35,20,4,4.116
46,16.85,21,4,3.831
47,16.35,22,4,3.712
48,15.7,23,4,4.121
49,14.95,0,5,3.764
50,14.5,1,5,3.394
51,14.35,2,5,3.159
52,14.45,3,5,3.081
53,14.6,4,5,3.216
54,14.6,5,5,3.468
55,14.7,6,5,3.838
56,15.45,7,5,4.012
57,16.7,8,5,4.183
58,18.3,9,5,4.269
59,20.1,10,5,4.28
60,20.65,11,5,4.31
61,19.45,12,5,4.315
62,20.2,13,5,4.233
63,20.25,14,5,4.188
64,20.05,15,5,4.263
65,20.25,16,5,4.37
66,20.95,17,5,4.308
67,21.9,18,5,4.182
68,21,19,5,4.075
69,19.9,20,5,4.057
70,19.25,21,5,3.791
71,17.3,22,5,3.667
72,16.3,23,5,4.036
73,15.8,0,6,3.636
74,15,1,6,3.283
75,14.4,2,6,3.073
76,14.05,3,6,3.003
77,13.65,4,6,3.023
78,13.5,5,6,3.113
79,14.15,6,6,3.335
80,15.3,7,6,3.484
81,14.8,8,6,3.697
82,17.05,9,6,3.723
83,18.35,10,6,3.786
84,19.45,11,6,3.763
85,18.55,12,6,3.748
86,18.65,13,6,3.714
87,18.85,14,6,3.737
88,19.8,15,6,3.828
89,19.65,16,6,3.937
90,18.9,17,6,3.929
91,19.5,18,6,3.877
92,17.7,19,6,3.829
93,17.35,20,6,3.95
94,16.95,21,6,3.756
95,16.4,22,6,3.638
96,15.95,23,6,4.045
97,14.9,0,7,3.682
98,14.25,1,7,3.283
99,13.05,2,7,3.036
100,12,3,7,2.933
101,11.5,4,7,2.956
102,10.95,5,7,2.959
103,12.3,6,7,3.157
104,16.1,7,7,3.236
105,17.1,8,7,3.37
106,19.6,9,7,3.493
107,21.1,10,7,3.516
108,22.6,11,7,3.555
109,24.35,12,7,3.57
110,25.25,13,7,3.656
111,25.75,14,7,3.792
112,20.35,15,7,3.95
113,15.55,16,7,3.953
114,18.3,17,7,3.926
115,19.4,18,7,3.849
116,19.25,19,7,3.813
117,18.55,20,7,3.891
118,17.7,21,7,3.683
119,16.75,22,7,3.562
120,15.8,23,7,3.936
121,14.9,0,1,3.602
122,14.05,1,1,3.271
123,14.1,2,1,3.085
124,13.5,3,1,3.041
125,13,4,1,3.201
126,12.95,5,1,3.57
127,13.3,6,1,4.123
128,13.9,7,1,4.307
129,15.4,8,1,4.481
130,16.75,9,1,4.533
131,17.3,10,1,4.545
132,17.75,11,1,4.524
